CordisName,Country,ActivityType,BestRorName,BestRorId,Score,Error
KADIR HAS UNIVERSITESI,TR,HES,Kadir Has Üniversitesi,https://ror.org/03zzckc47,1,
ISLE UTILITIES LIMITED,UK,PRC,ISLE,https://ror.org/036zxgb71,0.5,
HYENERGY TRANSSTORE BV,NL,PRC,,,0,
ALPHABET FUHRPARKMANAGEMENT GMBH,DE,PRC,Alphabet (United States),https://ror.org/02e9yx751,0.25,
PLEIONE ANONYMI ETAIRIA KAINOTOMONENERGEIAKON EFARMOGON,EL,PRC,,,0,
N-VISION SYSTEMS AND TECHNOLOGIES SL,ES,PRC,Vision Technologies Systems,https://ror.org/05vpcsf30,0.4,
INSTITUTT FOR ENERGITEKNIKK STI,NO,REC,Institutt for Energiteknikk,https://ror.org/02jqtg033,0.75,
FLAME SPRAY TECHNOLOGIES B.V.,NL,PRC,Flame Spray (Italy),https://ror.org/03xdg2f86,0.5,
STAZIONE SPERIMENTALE DEL VETRO SOCIETA CONSORTILE PER AZIONI,IT,REC,Stazione Sperimentale del Vetro,https://ror.org/04x96x598,0.5,
CENTRO TECNICO DE SEAT SA,ES,PRC,Centro Técnico de Automação (Brazil),https://ror.org/017422k09,0.5,
3M DEUTSCHLAND GMBH,DE,PRC,3M (France),https://ror.org/02f12sz84,0.3333333333333333,
DANAOS SHIPPING COMPANY LIMITED,CY,PRC,Danaos (Cyprus),https://ror.org/04e6aft63,0.25,
UNIVERSITAT BAYREUTH,DE,HES,Universität Bayreuth,https://ror.org/0234wmv40,1,
SUSTAINABLE INNOVATIONS EUROPE SL,ES,PRC,Sustainable Innovations Europe,https://ror.org/02y2bp537,1,
UPPSALA UNIVERSITET,SE,HES,Uppsala universitet,https://ror.org/048a87296,1,
LIEBHERR AEROSPACE TOULOUSE SAS,FR,PRC,SAS,https://ror.org/03ggp5v59,0.25,
HYDROGENIOUS LOHC TECHNOLOGIES GMBH,DE,PRC,RENA Technologies Austria,https://ror.org/05cxx5e41,0.2,
LAPPEENRANNAN-LAHDEN TEKNILLINEN YLIOPISTO LUT,FI,HES,Lappeenrannan-Lahden teknillinen yliopisto,https://ror.org/0208vgz68,0.75,
ANONYMOS ETAIREIA DIORYGAS KORINTHOU AE,EL,PRC,AE,https://ror.org/029yy6d70,0.2,
Quantis Sarl,CH,PRC,Quantis (Switzerland),https://ror.org/02b5fj195,0.3333333333333333,
KONCAR - DIGITAL DOO ZA DIGITALNE USLUGE,HR,PRC,KONČAR - Institut za elektrotehniku,https://ror.org/002zbcq91,0.25,
THE UNIVERSITY OF AUCKLAND,NZ,HES,University of Auckland,https://ror.org/03b94tp07,0.75,
ECOPOWER,BE,PRC,,,0,
ALMATY UNIVERSITY OF POWER ENGINEERING AND TELECOMMUNICATIONS NAMED AFTER GUMARBEK DAUKEEV,KZ,HES,Almaty University of Power Engineering and Telecommunications,https://ror.org/020d95911,0.6363636363636364,
ENERJISA ENERJI URETIM ANONIM SIRKETI,TR,PRC,Humanis Saglik Anonim Sirketi,https://ror.org/00y2brq70,0.2857142857142857,
OSIT IMPRESA SPA,IT,PRC,,,0,
INERATEC GMBH,DE,PRC,,,0,
WIND INERTIA TECHNOLOGIES SL,ES,PRC,Wind Technologies (United Kingdom),https://ror.org/03f6smv36,0.4,
DARAMIC SAS,FR,PRC,SAS,https://ror.org/03ggp5v59,0.5,
HYCCO,FR,PRC,,,0,
SOLVIONIC,FR,PRC,Solvionic (France),https://ror.org/041s3mp49,0.5,
"THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF OXFORD",UK,HES,,,0,
EVOPRO INNOVATION KFT,HU,PRC,,,0,
CRANFIELD UNIVERSITY,UK,HES,Cranfield University,https://ror.org/05cncd958,1,
ENGINEERING - INGEGNERIA INFORMATICA SPA,IT,PRC,E4 Computer Engineering,https://ror.org/04j8tay12,0.2,
Airbus Operations S.A.S.,FR,PRC,Airbus (Germany),https://ror.org/04a3akw68,0.25,
HSE INVEST DRUZBA ZA INZENIRING INIZGRADNJO ENERGETSKIH OBJEKTOV DOO,SI,PRC,"Esotech, družba za razvoj in izvajanje ekoloških in energetskih projektov, d.d.",https://ror.org/02tezqe13,0.2,
EOTVOS LORAND TUDOMANYEGYETEM,HU,HES,Eötvös Loránd Tudományegyetem,https://ror.org/01jsq2704,1,
PREMIUM AEROTEC GmbH,DE,PRC,UMJ Premium,https://ror.org/031px5f40,0.3333333333333333,
FYZIKALNY USTAV SLOVENSKEJ AKADEMIE VIED,SK,REC,Fyzikálny ústav Slovenskej akadémie vied,https://ror.org/05mgxqt50,1,
EH GROUP ENGINEERING SA,CH,PRC,EH,https://ror.org/015j35893,0.3333333333333333,
"INOVA+ - INNOVATION SERVICES, SA",PT,PRC,Innovation Services (Portugal),https://ror.org/017b7qd04,0.5,
FIZYKO-MEKHANICHNYY INSTYTUT IM H V KARPENKA NATSIONALNOYI AKADEMIYI NAUK UKRAYINY,UA,REC,Instytut Nauk Prawnych,https://ror.org/02k7ex914,0.18181818181818182,
FUNDACION CENTRO TECNOLOGICO DE INVESTIGACION MULTISECTORIAL,ES,REC,Fundacion Centro De Investigacion De Enfermedades Neurologicas,https://ror.org/053zwpg96,0.5,
VALSTS IZGLITIBAS ATTISTIBAS AGENTURA,LV,PUB,Valsts Izglītības Attīstības Aģentūra,https://ror.org/055t1w920,1,
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,FR,REC,Centre National de la Recherche Scientifique,https://ror.org/02feahw73,0.8571428571428571,
UNIVERSITA' DEGLI STUDI DI MILANO-BICOCCA,IT,HES,Università degli Studi di Milano-Bicocca,https://ror.org/01ynf4891,1,
PVA TEPLA AG,DE,PRC,PVA TePla (Germany),https://ror.org/03phr4149,0.6666666666666666,
ANDRITZ HYDRO AG,CH,PRC,Andritz (Austria),https://ror.org/04z69s492,0.3333333333333333,
NORTHEASTERN UNIVERSITY,US,HES,Northeastern University,https://ror.org/02ahky613,1,
HUTCHINSON SA,FR,PRC,Hutchinson (Canada),https://ror.org/03mj2b997,0.5,
TETHIS SPA,IT,PRC,,,0,
TARTU ULIKOOL,EE,HES,Tartu Ülikool,https://ror.org/03z77qz90,1,
BASF SE,DE,PRC,BASF SE,https://ror.org/002yzpx87,1,
VIVER CLEANTECH S.L,ES,PRC,Cleantech Scandinavia,https://ror.org/04y06jx93,0.25,
COUP' INDUS,FR,PRC,Indus University,https://ror.org/00hqpmg61,0.3333333333333333,
UNIVERSITY OF LEICESTER,UK,HES,University of Leicester,https://ror.org/04h699437,1,
UNIVERSITE DE NAMUR,BE,HES,Université de Namur,https://ror.org/03d1maw17,1,
